id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26874,WMKK,large_airport,Kuala Lumpur International Airport,2.74558,101.709999,69,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,1,WMKK,KUL,,,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,KLIA,1017575,2022-11-08T11:03:43+00:00
26878,WMKP,medium_airport,Penang International Airport,5.297140121,100.2770004,11,AS,Malaysia,MY,Penang,MY-07,7,Penang,1,WMKP,PEN,,,https://en.wikipedia.org/wiki/Penang_International_Airport,,750,2008-08-17T17:08:57+00:00
26814,WBKK,medium_airport,Kota Kinabalu International Airport,5.932743,116.049324,10,AS,Malaysia,MY,Sabah,MY-12,12,Kota Kinabalu,1,WBKK,BKI,,,https://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport,"Lapangan Terbang Antarabangsa Kota Kinabalu, Jesselton Airfield",750,2022-11-08T16:22:48+00:00
26875,WMKL,medium_airport,Langkawi International Airport,6.329730034,99.72869873,29,AS,Malaysia,MY,Kedah,MY-02,2,Langkawi,1,WMKL,LGK,,,https://en.wikipedia.org/wiki/Langkawi_International_Airport,,750,2008-08-17T17:08:57+00:00
26808,WBGG,medium_airport,Kuching International Airport,1.487364,110.352859,89,AS,Malaysia,MY,Sarawak,MY-13,13,Kuching,1,WBGG,KCH,,,https://en.wikipedia.org/wiki/Kuching_International_Airport,,750,2022-08-26T09:54:27+00:00
26879,WMSA,medium_airport,Sultan Abdul Aziz Shah International Airport,3.130579948,101.5490036,90,AS,Malaysia,MY,Selangor,MY-10,10,Subang,1,WMSA,SZB,,,https://en.wikipedia.org/wiki/Sultan_Abdul_Aziz_Shah_Airport,,750,2008-08-17T17:09:00+00:00
26873,WMKJ,medium_airport,Senai International Airport,1.64131,103.669998,135,AS,Malaysia,MY,Johor,MY-01,1,Johor Bahru,1,WMKJ,JHB,,,https://en.wikipedia.org/wiki/Senai_International_Airport,Sultan Ismail Airport,750,2017-08-14T22:25:14+00:00
26868,WMKC,medium_airport,Sultan Ismail Petra Airport,6.16685009,102.2929993,16,AS,Malaysia,MY,Kelantan,MY-03,3,Kota Baharu,1,WMKC,KBR,,,https://en.wikipedia.org/wiki/Sultan_Ismail_Petra_Airport,,750,2008-08-17T17:08:57+00:00
26811,WBGR,medium_airport,Miri Airport,4.32201,113.987,59,AS,Malaysia,MY,Sarawak,MY-13,13,Miri,1,WBGR,MYY,,,https://en.wikipedia.org/wiki/Miri_Airport,,750,2022-11-08T10:57:50+00:00
26816,WBKS,medium_airport,Sandakan Airport,5.900899887,118.0589981,46,AS,Malaysia,MY,Sabah,MY-12,12,Sandakan,1,WBKS,SDK,,,https://en.wikipedia.org/wiki/Sandakan_Airport,,750,2008-08-17T17:08:57+00:00
26818,WBMU,medium_airport,Mulu Airport,4.04832983,114.8050003,80,AS,Malaysia,MY,Sarawak,MY-13,13,Mulu,1,WBMU,MZV,,,https://en.wikipedia.org/wiki/Mulu_Airport,,750,2008-08-17T17:08:57+00:00
26812,WBGS,medium_airport,Sibu Airport,2.2616,111.985001,122,AS,Malaysia,MY,Sarawak,MY-13,13,Sibu,1,WBGS,SBW,,,https://en.wikipedia.org/wiki/Sibu_Airport,,750,2022-08-26T09:49:15+00:00
26869,WMKD,medium_airport,Kuantan Airport,3.77538991,103.2089996,58,AS,Malaysia,MY,Pahang,MY-06,6,Kuantan,1,WMKD,KUA,,,https://en.wikipedia.org/wiki/Sultan_Haji_Ahmad_Shah_Airport,,750,2008-08-17T17:08:57+00:00
26866,WMKA,medium_airport,Sultan Abdul Halim Airport,6.189670086,100.3980026,15,AS,Malaysia,MY,Kedah,MY-02,2,Alor Satar,1,WMKA,AOR,,,https://en.wikipedia.org/wiki/Sultan_Abdul_Halim_Airport,,750,2008-08-17T17:08:57+00:00
